Sl.No.,Heads of Crime,Major Heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,,,,,,
34,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Witch Craft (Sorcery),0,0,0,0,,,,,,
35,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),For Human Sacrifice,0,0,0,0,,,,,,
36,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Terrorism /Naxalism / Extremism,0,0,0,0,,,,,,
37,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),For Political Reasons,3,1,1,2,,,,,,
38,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Adultery,2,2,1,1,,,,,,
39,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Electoral Gain,0,0,0,0,,,,,,
40,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Gang Rivalry,1,0,0,0,,,,,,
41,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Love Intrigue,5,1,2,1,,,,,,
42,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Professional ,0,1,0,0,,,,,,
43,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Rape,1,0,0,1,,,,,,
44,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Revenge/Enemity,70,19,18,19,,,,,,
45,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Sudden Quarrel,70,20,27,20,,,,,,
46,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Village Dispute,2,1,1,0,,,,,,
47,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Due to Other Causes,565,143,161,220,,,,,,
48,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Civil Disputes,88,16,33,26,,,,,,
49,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),For Gain,0,0,0,0,,,,,,
50,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Over Civil Dispute,0,0,0,0,,,,,,
51,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Due to Personal Vendetta or enemity,0,0,0,0,,,,,,
52,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Due to Sexual jealousy,0,0,0,0,,,,,,
53,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),For Dowry,0,0,0,0,,,,,,
54,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Due to Communalism,0,0,0,0,,,,,,
55,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Due to Casteism,0,0,0,0,,,,,,
56,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Witch Craft (Sorcery),0,0,0,0,,,,,,
57,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),For Human Sacrifice,0,0,0,0,,,,,,
58,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Terrorism /Naxalism / Extremism,0,0,0,0,,,,,,
59,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),For Political Reasons,0,0,0,0,,,,,,
60,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Adultery,0,0,0,0,,,,,,
61,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Property Disputes,0,0,0,0,,,,,,
62,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Electoral Gain,1,0,1,0,,,,,,
63,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Gang Rivalry,0,0,0,0,,,,,,
64,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Love Intrigue,0,0,0,0,,,,,,
65,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Professional ,0,0,0,0,,,,,,
66,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Sudden Quarrel,4,4,2,1,,,,,,
67,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Due to Other Causes,29,7,11,11,,,,,,
68,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),For Gain,0,0,0,0,,,,,,
69,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Over Civil Dispute,0,0,0,0,,,,,,
70,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Due to Personal Vendetta or enemity,0,0,0,0,,,,,,
71,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Due to Sexual jealousy,0,0,0,0,,,,,,
72,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),For Dowry,0,0,0,0,,,,,,
73,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Due to Communalism,0,0,0,0,,,,,,
74,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Due to Casteism,0,0,0,0,,,,,,
75,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Witch Craft (Sorcery),0,0,0,0,,,,,,
76,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),For Human Sacrifice,0,0,0,0,,,,,,
77,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Terrorism /Naxalism / Extremism,0,0,0,0,,,,,,
78,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),For Political Reasons,0,0,0,0,,,,,,
79,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Due to Other Causes,9,2,3,3,,,,,,
80,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Adultery,1,0,0,0,,,,,,
81,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Property Disputes,0,0,0,0,,,,,,
82,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Electoral Gain,0,0,0,0,,,,,,
83,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Gang Rivalry,0,0,0,0,,,,,,
84,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Love Intrigue,0,0,0,0,,,,,,
85,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Professional ,0,0,0,0,,,,,,
86,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Sudden Quarrel,2,2,0,1,,,,,,
87,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",Custodial Rape,0,0,0,0,,,,,,
88,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",Attempt to Commit,5,1,2,1,,,,,,
89,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",By a Gang,3,2,1,1,,,,,,
90,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",By Parents,2,0,0,2,,,,,,
91,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",By Hospital Staff,1,0,0,1,,,,,,
92,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",By Husband During Sepearation,1,0,0,1,,,,,,
93,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",By Neighbours,12,2,2,4,,,,,,
94,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",By Relatives,8,6,1,4,,,,,,
95,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",In Jail Custody,0,0,0,0,,,,,,
96,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",In Remand Home,0,0,0,0,,,,,,
97,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",InCest,0,0,0,0,,,,,,
98,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",Known Person,127,29,42,48,,,,,,
99,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",Unknown Person,2,2,0,1,,,,,,
100,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",Due to Other Causes,77,21,29,33,,,,,,
101,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",On Minor,0,0,0,0,,,,,,
102,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Missing - Boy,714,229,226,285,,,,,,
103,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Missing - Girl,218,55,67,77,,,,,,
104,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",For Ransom - of Children,4,2,1,0,,,,,,
105,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",For Ransom - of Cildren for Begging,0,0,0,0,,,,,,
106,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",For Ransom - of Women,2,0,1,0,,,,,,
107,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",For Ransom - of Girls for Immoral Purpose,1,0,0,1,,,,,,
108,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",For Ransom - of  Others,15,7,7,5,,,,,,
109,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Procuration of Minor Girls - For Prostitution,0,0,0,0,,,,,,
110,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Procuration of Minor Girls - Importring of Girl,0,0,0,0,,,,,,
111,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Procuration of Minor Girls - For other Purpose,7,1,2,4,,,,,,
112,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Espionage,0,0,0,0,,,,,,
113,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Intent to Steal From Child,0,0,0,0,,,,,,
114,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Murder (Homicide),0,0,0,0,,,,,,
115,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Obtain Signature Forcibly,0,0,0,0,,,,,,
116,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Recovering Loan,1,0,0,1,,,,,,
117,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Settling any Disputes,2,2,1,1,,,,,,
118,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Unnatural Lust / Illicit Intercourse,0,0,0,0,,,,,,
119,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Wrongful Confinement,2,3,1,1,,,,,,
120,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",For Exporting,0,0,0,0,,,,,,
121,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",From Lawful Guardianship,1,0,0,1,,,,,,
122,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",For Camel Racing Etc.,0,0,0,0,,,,,,
123,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",To Compel For Marriage,2,0,0,2,,,,,,
124,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",For Slavery,0,0,0,0,,,,,,
125,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",For Stealing From its Person,0,0,0,0,,,,,,
126,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Others,127,24,42,50,,,,,,
127,A - IPC Crime,"DACOITY (Sec. 395 to 398 IPC/310(2),310(4),311,312 BNS)",At ATM,0,0,0,0,,,,,,
128,A - IPC Crime,"DACOITY (Sec. 395 to 398 IPC/310(2),310(4),311,312 BNS)",At Residential Premises,9,3,2,2,,,,,,
129,A - IPC Crime,"DACOITY (Sec. 395 to 398 IPC/310(2),310(4),311,312 BNS)",On Highways,5,2,1,1,,,,,,
130,A - IPC Crime,"DACOITY (Sec. 395 to 398 IPC/310(2),310(4),311,312 BNS)",In Trains,1,0,1,0,,,,,,
131,A - IPC Crime,"DACOITY (Sec. 395 to 398 IPC/310(2),310(4),311,312 BNS)",At Banks,1,0,0,0,,,,,,
132,A - IPC Crime,"DACOITY (Sec. 395 to 398 IPC/310(2),310(4),311,312 BNS)",At Commercial Places / Establishments,3,2,0,2,,,,,,
133,A - IPC Crime,"DACOITY (Sec. 395 to 398 IPC/310(2),310(4),311,312 BNS)",On Other Roads,12,3,4,4,,,,,,
134,A - IPC Crime,"DACOITY (Sec. 395 to 398 IPC/310(2),310(4),311,312 BNS)",In Other Places,8,6,3,4,,,,,,
135,A - IPC Crime,"DACOITY (Sec. 395 to 398 IPC/310(2),310(4),311,312 BNS)",River & Sea,0,0,0,0,,,,,,
136,A - IPC Crime,"DACOITY (Sec. 395 to 398 IPC/310(2),310(4),311,312 BNS)",Preparation And Assembly for Dacoity,16,13,7,2,,,,,,
137,A - IPC Crime,"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS)",At ATM,0,0,0,0,,,,,,
138,A - IPC Crime,"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS)",At Residential Premises,35,10,10,13,,,,,,
139,A - IPC Crime,"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS)",On Highways,17,10,5,6,,,,,,
140,A - IPC Crime,"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS)",In Trains,1,0,1,0,,,,,,
141,A - IPC Crime,"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS)",At Banks,0,0,0,0,,,,,,
142,A - IPC Crime,"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS)",At Commercial Places / Establishments,7,4,1,3,,,,,,
143,A - IPC Crime,"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS)",In Other Places,80,86,25,28,,,,,,
144,A - IPC Crime,"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS)",Chain Snatching,116,64,33,40,,,,,,
145,A - IPC Crime,"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS)",Attempt to Commit,11,5,4,3,,,,,,
146,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS)",At Residential Premises,565,205,201,161,,,,,,
147,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS)",On Highways,1,0,1,0,,,,,,
148,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS)",In Trains,0,0,0,0,,,,,,
149,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS)",At Banks,5,2,2,1,,,,,,
150,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS)",At Commercial Places / Establishments,157,60,44,52,,,,,,
151,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS)",In Other Places,130,38,40,55,,,,,,
152,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS)",Temple Theft,59,15,25,20,,,,,,
153,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS)",At Residential Premises,231,68,67,75,,,,,,
154,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS)",On Highways,0,0,0,0,,,,,,
155,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS)",In Trains,0,0,0,0,,,,,,
156,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS)",At Banks,0,0,0,0,,,,,,
157,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS)",At Commercial Places / Establishments,8,6,2,4,,,,,,
158,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS)",In Other Places,6,5,2,1,,,,,,
159,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS)",Temple Theft,3,1,2,1,,,,,,
160,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Attempt to commit,16,7,4,6,,,,,,
161,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Automobiles - Of Tractors,30,10,7,12,,,,,,
162,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),In Running Bus,31,0,12,11,,,,,,
163,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Snatching,146,0,30,69,,,,,,
164,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),At ATM,7,0,1,2,,,,,,
165,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Sand,382,202,119,146,,,,,,
166,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Government Office,9,0,3,6,,,,,,
167,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Mines,14,4,7,2,,,,,,
168,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Communication And Elec. Wire,70,21,24,22,,,,,,
169,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Cattle,138,37,38,48,,,,,,
170,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Cycle,14,14,8,3,,,,,,
171,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Automobiles - Of Lorries/Trucks,31,9,7,13,,,,,,
172,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Automobiles - Of Buses,1,0,0,0,,,,,,
173,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Automobiles - Of Cars / Jeeps,56,18,23,15,,,,,,
174,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Automobiles - Of Two Wheelers ,2296,993,682,781,,,,,,
175,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Automobies - of Three Wheelers,59,30,21,10,,,,,,
