Sl. No.,Heads of Crime,Major Heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
426,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Other Enforcement Official,0,0,0,0
427,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Other Govt. Official,0,0,0,0
428,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Para Military Personnel,0,0,0,0
429,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Police Personnel,0,0,0,0
430,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Public Sector Undertaking Official,1,0,0,0
431,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Others,0,0,0,0
432,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Death Causeed By Electric Shock,33,6,9,17
433,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Animal -Related,20,2,8,6
434,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Boat/Vessel - Related,0,0,0,0
435,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Explosive/Explosive Substances - Related,11,3,3,3
436,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Inflammable Substance- Related ,9,3,4,2
437,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Machinery - Related,48,3,9,15
438,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Poisonous Substance - Related,6,0,2,1
439,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Other - Related,654,90,319,109
440,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Human - Related,509,21,257,78
441,A - IPC Crime,RECEIVING OF STOLEN PROPERTY (Sec.411 to 414 IPC/317(2) TO 317(5) BNS),NA,1,0,0,0
442,A - IPC Crime,SEDITION (Sec. 124A IPC/IN BNS Deleted),Attempt to Commit,0,0,0,0
443,A - IPC Crime,SEDITION (Sec. 124A IPC/IN BNS Deleted),By Foreigner,0,0,0,0
444,A - IPC Crime,SEDITION (Sec. 124A IPC/IN BNS Deleted),By National,0,0,0,0
445,A - IPC Crime,SEDITION (Sec. 124A IPC/IN BNS Deleted),By National And Foreigner,0,0,0,0
446,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC/79 BNS),Attempt to Commit,7,0,2,2
447,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC/79 BNS),Office,3,0,1,0
448,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC/79 BNS),Public Conveyance,1,0,1,0
449,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC/79 BNS),Public Place,40,6,8,14
450,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC/79 BNS),Other Places,76,6,15,27
451,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC/107,108 BNS)",Dowry,3,0,2,0
452,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC/107,108 BNS)",Abetment of Suicide,132,26,35,37
453,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC/107,108 BNS)",Other Reasons,111,18,28,22
454,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC/107,108 BNS)",Attempt to Commit suicide,33,4,7,8
455,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Abetment  ,0,0,0,0
456,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Animal  ,0,0,0,0
457,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Attempt,0,0,0,0
458,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Major - Man,0,0,0,0
459,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Major - Woman,0,0,0,0
460,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Minor - Boy,0,0,0,0
461,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Minor - Girl,0,0,0,0
462,A - IPC Crime,"WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS)",Attempt to Commit,9,1,4,1
463,A - IPC Crime,"WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS)",To Extort Confession,2,0,0,2
464,A - IPC Crime,"WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS)",To Extort Property,11,2,3,4
465,A - IPC Crime,"WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS)",To settle Dispute,8,1,2,2
466,A - IPC Crime,"WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS)",Others,129,40,31,26
467,A - IPC Crime,"INFANTICIDE (Sec.315, 316 IPC/91,92 BNS)",Male,2,0,0,0
468,A - IPC Crime,"INFANTICIDE (Sec.315, 316 IPC/91,92 BNS)",Female,0,0,0,0
469,A - IPC Crime,"OFFENCES RELATED TO MARRIAGE (Sec.493 to 498 IPC/81,84 BNS)",NA,14,0,4,3
470,A - IPC Crime,"BUYING & SELLING MINOR FOR PROSTITUTION (Sec.372, 373 IPC/98,99 BNS)",NA,0,0,0,0
471,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC/346-350(2) BNS),Documents  ,0,0,0,0
472,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC/346-350(2) BNS),Property  ,0,0,0,0
473,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC/350(2)-356(4) BNS),Persons ,1,0,1,0
474,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC/350(2)-356(4) BNS),Printed Matter,0,0,0,0
475,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC/350(2)-356(4) BNS),Others,0,0,0,0
476,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC/173-177 BNS),Assembly,0,3,0,0
477,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC/173-177 BNS),Parliament,1,93,0,1
478,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC/173-177 BNS),Other Elected Bodies,0,0,0,0
479,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC/143,145,146 BNS)",Man,0,0,0,0
480,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC/143,145,146 BNS)",Woman,0,0,0,0
481,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC/143,145,146 BNS)",Boy,1,0,1,0
482,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC/143,145,146 BNS)",Girl,0,0,0,0
483,A - IPC Crime,Attempting to commit offences (Sec.511 IPC/62 BNS),Attempting to commit offences,77,16,22,23
484,A - IPC Crime,ILLEGAL DETENTION (Sec.342 IPC/127(2) BNS),NA,0,0,0,0
485,A - IPC Crime,FALSE EVIDENCE (Sec.191 to 205 IPC/227-242 BNS),NA,2,1,0,1
486,A - IPC Crime,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC/93 BNS),Boy ,10,2,6,2
487,A - IPC Crime,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC/93 BNS),Girl,12,0,4,4
488,A - IPC Crime,OF ABETMENT (Sec.107 to 120 IPC/45-60 BNS),NA,6,0,2,1
489,A - IPC Crime,"FAILURE TO APPEAR TO COURT (Sec.174A, 229A IPC/209,269 BNS)",IPC 174 A/BNS 209,88,5,37,16
490,A - IPC Crime,"FAILURE TO APPEAR TO COURT (Sec.174A, 229A IPC/209,269 BNS)",IPC 229 A/BNS 269,256,28,61,41
491,A - IPC Crime,Concealment of birth by secret disposal of Child,Girl,9,0,5,2
492,A - IPC Crime,Concealment of birth by secret disposal of Child,Boy,11,5,3,5
493,A - IPC Crime,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN,NA,1,0,0,0
494,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Others,5,0,1,0
495,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Private Institution,4,6,2,0
496,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Govt. Institution,0,0,0,0
497,A - IPC Crime,Human Trafficking,Eunuch,1,1,0,0
498,A - IPC Crime,Human Trafficking,Men,0,0,0,0
499,A - IPC Crime,Human Trafficking,Boy,1,0,0,0
500,A - IPC Crime,Human Trafficking,Women,0,0,0,0
501,A - IPC Crime,Human Trafficking,Girl,2,0,1,1
502,A - IPC Crime,Giving false information respecting an offence committed,Giving false information respecting an offence committed,4,1,0,2
503,B - SPECIAL & LOCAL LAWS,ANTIQUES (CULTURAL PROPERTY),Antiques & Art Treasures Act 1972,0,0,0,0
504,B - SPECIAL & LOCAL LAWS,ANTIQUES (CULTURAL PROPERTY),Ancient Monument & Archaelogical Sites And Remains Act 1958,4,1,0,1
505,B - SPECIAL & LOCAL LAWS,ARMS ACT 1959,Country Made - Non Prohibited Bore - In Disturbed Area,3,3,0,2
506,B - SPECIAL & LOCAL LAWS,ARMS ACT 1960,Country Made - Non Prohibited Bore - In Other Area,55,11,8,14
507,B - SPECIAL & LOCAL LAWS,ARMS ACT 1961,Country Made - Prohibited Bore - In Disturbed Area,2,0,1,1
508,B - SPECIAL & LOCAL LAWS,ARMS ACT 1962,Country Made - Prohibited Bore - In Other Area,39,9,16,7
509,B - SPECIAL & LOCAL LAWS,ARMS ACT 1963,Factory Made - Non Prohibited Bore - In Disturbed Area,3,0,2,0
510,B - SPECIAL & LOCAL LAWS,ARMS ACT 1964,Factory Made - Non Prohibited Bore - In Other Area,11,1,1,3
511,B - SPECIAL & LOCAL LAWS,ARMS ACT 1965,Factory Made - Prohibited Bore - In Disturbed Area,4,0,0,0
512,B - SPECIAL & LOCAL LAWS,ARMS ACT 1966,Factory Made - Prohibited Bore - In Other Area,16,2,6,3
513,B - SPECIAL & LOCAL LAWS,ANIMAL,The Karnataka Prevention of Slaughter and Preservation of Cattle Ordinance 2020,33,13,13,9
514,B - SPECIAL & LOCAL LAWS,ANIMAL,Wild Life Preservation Act 1972,0,0,0,0
515,B - SPECIAL & LOCAL LAWS,ANIMAL,Wild Life Protection Act 1972,3,0,1,0
516,B - SPECIAL & LOCAL LAWS,ANIMAL,Prevention of Cruelty to Animals Act 1960,72,11,18,15
517,B - SPECIAL & LOCAL LAWS,ANIMAL,Elephant (Preservation) Act 1879,0,0,0,0
518,B - SPECIAL & LOCAL LAWS,ANIMAL,Cattle Tresspass Act 1871,2,0,0,1
519,B - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1952,Films,0,0,0,0
520,B - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1953,Video,0,0,0,0
521,B - SPECIAL & LOCAL LAWS,CONSUMER,Liquified Petroleum Gas Supply & Control Order 2000 ,38,6,10,11
522,B - SPECIAL & LOCAL LAWS,CONSUMER,Consumer (Protection) Act 1986,1,1,0,1
523,B - SPECIAL & LOCAL LAWS,CONSUMER,Essential Commodities Act 1955,172,46,62,54
524,B - SPECIAL & LOCAL LAWS,CONSUMER,Prevention of Food Adulternation Act 1954,2,0,1,1
525,B - SPECIAL & LOCAL LAWS,CONSUMER,Packaged Commodities (Regulation) order 1975,0,0,0,0
526,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1957,By Company,57,6,12,8
527,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1958,By Individual,28,5,5,6
528,B - SPECIAL & LOCAL LAWS,CIVIL RIGHTS,Protection of Civil Rights Act 1955,3,0,0,3
529,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste  ,439,114,124,103
530,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes,98,25,27,30
531,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste Women,169,42,44,44
532,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes Women,40,10,7,9
533,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Labour (Prohibition & Regulation) Act1986,20,7,2,2
534,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Marriage (Restraint) Act - 1929,53,17,14,18
535,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Juvenile Justice Act 1986,65,25,31,8
536,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Probation of offenders Act 1958,0,0,0,0
537,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Protection of Children from Sexual Offences Act 2012 (POCSO),0,0,0,0
538,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Elected,0,0,0,0
539,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1989,Public Servant - Gazetted - Central,0,0,0,0
540,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1990,Public Servant - Gazetted - Defence,0,0,0,0
541,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1991,Public Servant - Gazetted - Public Sector Undertaking,0,0,0,0
542,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1992,Public Servant - Gazetted - State,0,0,0,0
543,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1993,Public Servant - Non-Gazetted - Central,0,0,0,0
544,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1994,Public Servant - Non-Gazetted - Defence,0,0,0,0
545,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1995,Public Servant - Non-Gazetted - State,0,0,0,0
546,B - SPECIAL & LOCAL LAWS,CUSTOMS,Customs Act 1962,0,0,0,0
547,B - SPECIAL & LOCAL LAWS,CUSTOMS,Import/Export (Control) Act 1947,0,0,0,0
548,B - SPECIAL & LOCAL LAWS,Explosives,Explosives Substances Act 1908,18,1,3,4
549,B - SPECIAL & LOCAL LAWS,Explosives,Explosives Act 1884,17,4,8,2
550,B - SPECIAL & LOCAL LAWS,Explosives,Inflammable Substance Act 1952,0,0,0,0
551,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Smugglers and Foreign Exchange Manipulator Act 1976,0,0,0,0
552,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1973,0,0,0,0
553,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1952,0,0,0,0
554,B - SPECIAL & LOCAL LAWS,FOREIGNER,Foreigners Act 1946,18,0,10,2
555,B - SPECIAL & LOCAL LAWS,FOREIGNER,Registration of Foreigners Act 1939,0,0,0,0
556,B - SPECIAL & LOCAL LAWS,FOREST,Indian Forest Act 1927,0,0,0,0
557,B - SPECIAL & LOCAL LAWS,FOREST,Forest (Conservation) Act 1980,3,0,1,0
558,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - In India,0,0,0,0
559,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - Outside India,0,0,0,0
560,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - In India,0,0,0,0
561,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - Outside India,0,0,0,0
562,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Organised,58,10,17,10
563,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Un-Organised,37,2,15,2
564,B - SPECIAL & LOCAL LAWS,BONDED LABOUR SYSTEM,NA,1,0,0,0
565,B - SPECIAL & LOCAL LAWS,INDIAN MOTOR VEHICLE,NA,38,5,18,13
566,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Cultivated/Processed,714,79,171,196
567,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Synthetic,1079,138,262,321
568,B - SPECIAL & LOCAL LAWS,PASSPORT ACT,Foreigner,0,1,0,0
569,B - SPECIAL & LOCAL LAWS,PASSPORT ACT,Indian,2,0,0,0
570,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,Assembly,0,2,0,0
571,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1989,Parliament,0,68,0,0
572,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1990,Other Elected Bodies,0,3,0,0
573,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),2090,291,654,531
574,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1964,Street Gambling (87),2610,720,978,676
575,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1965,House Gambling (79 & 80),99,19,37,20
576,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1966,Betting ,437,171,68,327
577,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1967,Others ,231,47,70,44
578,B - SPECIAL & LOCAL LAWS,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,NA,39,11,11,12
579,B - SPECIAL & LOCAL LAWS,"POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1980",NA,0,0,0,0
580,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Official Secrets Act 1923,0,0,0,0
581,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Essential Services Maintenance Act 1981,0,0,0,0
582,B - SPECIAL & LOCAL LAWS,PREVENTION OF TERRORISM ACT (POTA),NA,0,0,0,0
583,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Indian Railways Act 1989,1,0,0,1
584,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Railway Property (Unlawful Possession) Act 1966,0,0,0,0
585,B - SPECIAL & LOCAL LAWS,UNLAWFUL ACTIVITIES (Prevention) Act 1967,NA,0,1,0,0
586,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Dowry Prohibition,552,153,152,150
587,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Commission of SATI (Prevention) Act 1987,0,0,0,0
588,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Indecent Representation of Women (Prohibition) Act 1986,0,0,0,0
589,B - SPECIAL & LOCAL LAWS,INDIAN LUNACY ACT,NA,0,0,0,0
590,B - SPECIAL & LOCAL LAWS,INDIAN ELECTRICITY ACT,NA,6,1,2,1
591,B - SPECIAL & LOCAL LAWS,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",NA,474,35,161,65
592,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Prevention of Insult to National Hounours Act 1971,5,0,1,0
593,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"Prevention of violence against Doctors, Medical professionals and Medical institutions",6,0,2,0
594,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"The Karnataka Prevention of Dangerous Activities of Bootleggers, Drug-offenders, Gamblers, Goonda Act",0,0,0,0
595,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Cow Slaughters Act,72,22,18,18
596,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Banning of Unregulated Deposit Schemes Act,11,0,1,1
597,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"Motor Spirit and High Speed Diesel (Regulation of upply, Distribution and Prevention of Malpractice",0,0,0,0
598,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Epidemic Deseases Act 2020,0,0,0,0
599,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prevention of Slaughter and Preservation of Cattle Act 2020,65,8,22,15
600,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Disaster Management Act 2005,0,0,0,0
601,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Excise Act 1965,3563,879,1286,980
602,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Forest Act 1963,6,2,1,3
603,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Education Act 1983 As Amended Upto Date,2,0,0,1
604,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Restriction Unuse Act 1956,0,0,0,0
605,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka University Act,0,0,0,0
606,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Corruption Act,0,0,0,0
607,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Medical Registration Act 1965,1,0,0,0
608,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land & Revenue Act 1964 & 2007,14,1,6,2
609,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Dealers License Order 1969,0,0,0,0
610,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Society Registration Act,0,0,0,0
611,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Minor Mineral Consistent Rule 1994,5,5,1,0
612,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Bangalore Development Authority Act,0,0,0,0
613,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Beggery Act 1975,13,0,0,0
614,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Municipalities Act 1964,0,0,0,0
615,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Irrigation Act 1963,3,0,1,1
616,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Fire Force act 1964,2,0,1,0
617,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Consumer Protection Act 1986,0,0,0,0
618,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Lottery Act,29,4,12,2
619,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Weight & Measurement Act,0,0,0,0
620,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Agriculture Marketing Regulation Act,0,0,0,0
621,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Revenue Act,0,0,0,0
622,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Mining Act,0,0,0,0
623,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Betting Tax Act,0,0,0,0
624,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Panchayat Raj Act,1,0,0,0
625,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Open Place Disfigurement Act 1951,62,9,25,16
626,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Right To Information Act 2000 & 2008,1,0,0,0
627,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Urban Development Act 1987,0,0,0,0
628,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Town & City Planning Act 1961,0,0,0,0
629,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Race Betting Act,0,0,0,0
630,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Devadasi's (Prohibition Of Dedication) Act 1982,0,0,0,0
631,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Cooperative Society Act,1,0,0,0
632,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Entertainment Tax Act 1958,2,0,1,1
633,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land Acquisition (Prohibition) Act 2007,0,0,0,0
634,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Money Lender Act 1961,11,1,3,6
635,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Stamp Act 1957,0,0,0,0
636,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prisoners Act 1963 & 1974,19,9,2,4
637,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Private Medical Institution Act 2007,2,0,1,0
638,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,MMRD (Mines & Minerals Regulation Development ) Act 1957,33,5,13,12
639,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Treasure Trove Act 1962,1,0,0,0
640,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Charging Exorbitant Interest Act 2004,8,0,2,0
641,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Ayurvedic And Unani Pract. Regis. & Medical Prac. Misc. Prov. Act,0,0,0,0
642,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Other Local Acts,53,16,21,8
643,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),"Information Technology Act 2000, 2009",53,1529,12,17
